Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
58,287975,"Igor Andriushchenko","2016-03-23 15:58:59",0.82757,41,igorandri
59,312485,dutch-irish,"2016-05-02 21:38:11",0.82756,24,dutchirish
60,294019,Massimiliano,"2016-05-02 14:28:04",0.82755,49,massimilianom
61,313903,StepanBogoslovskiy,"2016-05-02 22:20:08",0.82755,14,zveroloff
62,309546,sxzircon,"2016-05-02 11:57:56",0.82755,52,sxzircon
63,315388,n_m,"2016-05-02 17:42:56",0.82754,7,naokazumizuta
64,304590,analytical_monk,"2016-05-02 18:40:46",0.82754,24,akashtandon
65,314809,"Chris H.","2016-05-02 23:56:51",0.82752,32,hurlburt
66,311145,"Akshay Patil","2016-04-18 12:25:45",0.82752,2,akshaypatil
67,302027,"Dmitry Larko","2016-05-02 15:43:31",0.82751,43,dmitrylarko
68,298722,"Oncu Kayalar","2016-04-30 16:25:05",0.82751,30,terranx
69,314906,"Fenix Lin","2016-05-02 16:40:56",0.82751,14,fenixlin
70,298344,Maher-Oguz,"2016-05-02 20:12:12",0.82751,43,"mahoguz,okazkayasi"
71,312730,thomasjpfan,"2016-04-29 05:34:29",0.82750,8,thomasjpfan
72,301095,AdmiralWen,"2016-05-01 22:43:00",0.82749,18,admiralwen
73,293156,HansMaulwurf,"2016-05-02 21:16:10",0.82748,70,maulwurf1
74,313446,"Darcy Gong","2016-04-25 15:40:49",0.82748,9,darcy34
75,301850,vrajs5,"2016-05-02 06:27:15",0.82748,129,chevli
76,315295,"La team des précaires","2016-04-29 16:08:22",0.82748,14,fm9491
77,307652,"Yi Deng","2016-04-15 16:05:07",0.82747,7,dy11402
78,311802,"David H","2016-05-02 13:39:05",0.82747,29,davidhowe
79,292518,"The Moosefits","2016-05-02 07:20:10",0.82747,110,"cargomoose,picarus"
80,286101,openneuron,"2016-04-28 15:12:16",0.82747,35,openneuron
81,286234,"Ram Ramanathan","2016-03-30 07:02:59",0.82747,9,ramsthere
82,297262,Laurae,"2016-05-02 23:51:30",0.82747,178,"indradenbakker,laurae2,pabloarayamelo"
83,301209,"Peter Borrmann","2016-04-27 00:20:03",0.82746,11,thequants
84,295904,SankaD,"2016-04-18 00:25:50",0.82746,52,sankad
85,290189,F.J.Martinez-de-Pison,"2016-05-02 17:01:45",0.82745,131,jpison
86,313656,"xavier illa","2016-04-25 14:23:15",0.82745,11,xailto
87,314667,Marty,"2016-04-24 19:28:25",0.82745,2,martinharris400
88,312957,Pepan,"2016-05-01 21:55:31",0.82745,16,vipito
89,296727,b.e.s.,"2016-05-02 09:41:13",0.82745,51,ybabakhin
90,306449,"Jason Sumpter","2016-04-13 23:51:08",0.82745,3,jasonsumpter
91,300466,gakuazu,"2016-04-07 14:44:01",0.82744,5,gakuazu
92,287495,dmi3kno,"2016-04-26 22:14:45",0.82743,47,dmi3kno
93,289140,Kim_,"2016-03-22 09:48:42",0.82743,46,dty09rcu
94,294050,"dallas kagglers club","2016-05-02 08:27:30",0.82742,139,jbm1966
95,300126,"Ottokar Tilk","2016-04-26 08:15:36",0.82742,17,ottokar
96,303157,ScientistJeff,"2016-04-14 13:38:57",0.82742,6,scientistjeff
97,305329,lov3pinky,"2016-04-18 04:00:31",0.82741,19,lov3pinky
98,297012,IC-->ES,"2016-03-30 01:44:58",0.82741,12,iceser
99,285744,DataCousins,"2016-05-02 21:49:29",0.82741,71,"fernandoconstantino,javiertag,virilo"
100,302446,seaem,"2016-04-13 03:42:02",0.82741,5,krabhijeet
101,296363,EnvyMyFieldsMedal,"2016-05-02 12:27:41",0.82740,8,envymyfieldsmedal
102,314543,rock9c,"2016-04-24 14:45:01",0.82740,3,rock9c
103,312246,Troll,"2016-05-02 06:12:30",0.82740,44,"gy1122,hengluchang"
104,293032,"Wind Bear","2016-05-02 23:33:09",0.82739,55,yangyang
105,293102,VVS0713,"2016-05-02 17:11:49",0.82739,60,vvs0713
106,311578,Derrick,"2016-05-02 07:35:55",0.82739,13,nguyenhderrick
107,304228,derekatwood,"2016-05-01 00:04:31",0.82739,24,derekatwood
108,314819,"Michele Usuelli","2016-04-30 11:49:23",0.82738,4,micheleusuelli
109,310911,Speedster,"2016-05-02 19:37:28",0.82738,8,"amittrivedi,arp135,roopesh248,sagar799"
110,315726,jfielden,"2016-05-02 21:23:50",0.82738,7,jfielden
111,288981,"Evgeny Eltyshev  (MIPT DMIA)","2016-05-02 18:30:08",0.82738,37,evgenyeltyshev
112,309252,Quake,"2016-04-29 05:44:47",0.82738,16,abhisheknrl
113,314719,antklen,"2016-05-02 16:40:34",0.82738,10,antklen
114,292495,"Julia G A Gomes","2016-04-12 03:34:31",0.82737,64,juliassis
115,291570,"Cheng 2","2016-04-12 07:53:50",0.82737,75,zhucheng484
116,302709,"Hoang Duong","2016-04-28 17:53:10",0.82737,6,hduong
117,306170,goodguy,"2016-04-14 06:40:12",0.82736,7,goodguy
118,285682,"Jordi de la Torre","2016-03-18 12:20:25",0.82736,26,jordidelatorre
119,315285,"The Lottery","2016-04-28 19:06:22",0.82736,2,gertjac
120,296107,heimdallr,"2016-04-21 04:31:08",0.82736,28,heimdallr
121,301214,BlueArrow,"2016-04-26 15:36:57",0.82736,14,bluearrow
122,296093,"Jared Turkewitz","2016-05-01 22:49:24",0.82735,66,jturkewitz
123,288471,rimmyjain,"2016-03-24 10:49:40",0.82733,7,rimmyujain
124,290308,"Vasenina Masha","2016-05-02 07:22:36",0.82733,9,vaseninamasha
125,286769,lewis,"2016-03-08 11:43:34",0.82733,9,cartographic
126,288632,scient1sts,"2016-04-16 16:28:43",0.82732,17,"anticycle,scient1st"
127,311882,wilan,"2016-05-02 12:48:10",0.82731,12,wilanw
128,300558,vin631,"2016-04-04 17:57:15",0.82731,7,sentimentalarse
129,298365,gooron,"2016-05-01 14:08:36",0.82731,83,gooron
130,298409,"Team X","2016-05-02 21:04:18",0.82731,43,"acxav89,martinsilerio,reworkhow"
131,314247,[entropy],"2016-05-02 22:31:55",0.82730,10,grzegorz
132,296469,"Krell Labs","2016-04-19 16:09:00",0.82730,71,ligeekdad007
133,311675,v8trabantturbo,"2016-05-02 23:43:16",0.82730,11,brezniczky
134,296115,MLCLASS_SP16_KYF,"2016-05-02 23:54:29",0.82730,75,kaiyuanf
135,312578,JosephBudin,"2016-04-26 11:00:20",0.82730,9,josephbudin
136,313600,"Pavel Gladkov","2016-05-02 13:18:11",0.82730,33,pgladkov
137,295423,killercomet,"2016-05-02 20:57:18",0.82729,76,killercomet
138,315721,beta00,"2016-05-02 21:03:27",0.82729,4,vikrantdogra
139,295084,del_mipt_dmia,"2016-04-22 19:40:06",0.82729,8,sstudyer
140,289350,"Mircea Neagovici","2016-05-02 23:38:49",0.82729,79,mircean
141,301331,VULytics,"2016-04-11 10:45:27",0.82729,8,vulytics
142,310632,"Jorge Palma","2016-05-01 18:14:48",0.82729,36,jorgepalma
143,297843,madcap,"2016-05-02 23:57:56",0.82728,22,madcap
144,289255,"Hannes Rydén","2016-05-02 23:18:00",0.82728,25,hannesryden
145,297469,JaimeBlasco,"2016-04-05 04:07:04",0.82727,33,jaimeblasco
146,311798,stats95,"2016-05-02 22:16:20",0.82727,52,wliang10
147,312445,Darragh,"2016-04-29 17:38:46",0.82727,12,darraghdog
148,298451,xkavator,"2016-04-17 05:06:48",0.82727,16,xkavator
149,312761,"Hebbian Hilarity","2016-05-02 23:54:17",0.82727,72,"mal000,philculliton"
150,297252,"Srikanth Iyer","2016-05-02 22:18:32",0.82727,49,"dalgacik,srikiyer"
151,295862,Psyho,"2016-04-02 13:09:39",0.82726,20,fakepsyho
152,294634,clinica,"2016-03-30 20:00:42",0.82726,13,clinica
153,286834,Mark,"2016-03-28 12:37:44",0.82726,13,markajoc
154,287424,"Luca Massaron & Dario Solari","2016-05-02 21:43:03",0.82725,52,"dariosolari,lucamassaron"
155,292357,hundredths,"2016-03-30 21:31:59",0.82725,54,hundredths
156,301697,"Weslley Moura","2016-04-18 17:38:08",0.82725,4,weslleymoura
157,315243,Shantanu,"2016-05-02 14:50:37",0.82724,22,scborty
158,297550,RokSta,"2016-04-25 15:57:24",0.82724,20,roksta
159,294328,"The Big Crunch","2016-04-30 07:51:32",0.82724,61,"del=eccee7fda99ef139,sunnmy"
160,292730,puyokwゆるふわ勢,"2016-05-01 05:42:08",0.82724,82,puyokw
161,301354,AMDOUNIRaouf,"2016-04-29 10:13:39",0.82724,50,amdouni
162,315071,barisumog,"2016-05-02 23:07:40",0.82724,12,barisumog
163,310511,linhao,"2016-04-23 10:07:34",0.82724,7,imlinhao
164,299907,"Denis Tsitko","2016-03-31 14:34:06",0.82724,2,denistsitko
165,305109,Fibrato,"2016-05-02 22:35:43",0.82724,34,fibrato
166,290304,BayerSe,"2016-04-05 18:18:38",0.82724,24,bayerse
167,286996,"Michael Wallin","2016-05-02 15:52:24",0.82723,18,wallinm1
168,302658,SachinTyagi,"2016-04-20 22:11:27",0.82723,47,sachintyagi
169,297126,"Dolomites Lions","2016-05-02 20:37:33",0.82723,102,"del=c4ea26f87cf1769b,emptyleydenjar,mgd05tn,robertobattiti"
170,292933,tushar88,"2016-05-02 19:20:57",0.82723,44,tushar88
171,288563,FrançoisLeblanc,"2016-05-02 14:12:43",0.82722,33,leblancfg
172,311859,Palaeontologist,"2016-05-02 23:17:59",0.82722,5,hnowak
173,289949,"Michael Maguire","2016-05-02 18:43:52",0.82722,90,thawatt
174,287548,"Russ Boucher","2016-05-02 21:40:58",0.82722,47,krashski
175,297493,RamRasia,"2016-04-11 17:00:58",0.82721,9,ramrasia
176,309843,"DA 2","2016-05-01 22:45:03",0.82721,17,dadublin
177,314958,Tamoghna,"2016-05-02 22:59:36",0.82721,11,tamoghnaroy
178,297778,"La banca siempre gana","2016-05-02 08:18:23",0.82721,41,x75a40890
179,285104,theslug,"2016-03-29 07:51:47",0.82721,21,"monere,rkhraishi"
180,293189,sall,"2016-04-28 01:17:21",0.82721,17,salaken
181,315598,AndréannaJuneau,"2016-04-25 21:44:50",0.82720,3,ajuneau
182,300386,Romsyd,"2016-04-27 00:17:12",0.82720,2,romara
183,298174,dun,"2016-05-02 14:06:32",0.82720,80,dmatekenya
184,312393,MCOC,"2016-04-27 22:53:03",0.82720,22,majhra
185,315358,Levon,"2016-04-26 11:36:54",0.82720,7,levony
186,305986,redd,"2016-04-21 01:33:24",0.82720,14,numb3rs
187,292905,"☕╮(ಠ ⌣ ಠ)ᕗ","2016-05-02 23:56:07",0.82720,109,mgkaggle
188,294736,yoyoismee,"2016-04-02 19:43:59",0.82719,21,yoyoismee
189,309836,joisino,"2016-05-02 23:57:27",0.82719,16,joisino
190,285675,tayfurr,"2016-04-24 20:26:27",0.82719,35,tayfurr
191,300347,testudo,"2016-04-12 09:27:11",0.82719,19,rossiseba
192,291463,SteveKane,"2016-04-24 15:18:07",0.82718,30,abednadir
193,300619,"Lenny Merle","2016-04-14 10:30:44",0.82718,41,lennymerle
194,310839,zekezeke,"2016-04-18 20:42:41",0.82718,3,tingyi0705
195,292264,"Luis Castro","2016-04-05 02:56:45",0.82718,24,luislundquist
196,312922,5109176,"2016-05-02 02:31:01",0.82718,32,jessewu
197,302799,brumberg,"2016-04-05 23:04:20",0.82717,4,brumberg
198,303329,CC,"2016-05-02 23:52:04",0.82717,22,"runhanli,xymuzical"
199,298230,ElsaWa,"2016-04-11 23:03:08",0.82717,6,"elsawa,jubjoseph,kaviselvi,supritha"
200,294212,Shashank,"2016-04-05 02:20:24",0.82717,4,shashank29
201,298061,Peng,"2016-04-11 14:12:17",0.82716,9,pengliu84
202,295928,"Moti Cohen","2016-04-13 05:00:57",0.82716,20,cohmoti
203,287321,"Konstantinos Makantasis","2016-04-06 07:26:05",0.82716,35,kmakantasis
204,304951,YES1130,"2016-04-13 15:05:02",0.82716,9,silvey1130
205,288560,msram,"2016-05-02 20:34:02",0.82716,117,techieram
206,293550,"Chintan Shah","2016-04-19 17:10:48",0.82716,11,thecpshah
207,285407,AteşEdenler,"2016-04-12 20:29:50",0.82716,2,"aliozcan,badshot8"
208,307806,Barg,"2016-04-13 18:57:12",0.82716,5,rouseguy
209,296309,Ngreff,"2016-04-13 07:51:02",0.82716,61,ngreff
210,288122,"Ignacio Forrester","2016-04-13 14:35:37",0.82716,28,neich10
211,294242,prabhatr,"2016-04-14 00:18:43",0.82716,20,prabhatr
212,301019,ADPR,"2016-04-14 12:55:08",0.82716,35,adpads
213,290903,"Vernon Lawhern","2016-04-16 02:00:51",0.82716,13,vlawhern
214,309671,"Udayan Maurya","2016-04-23 09:38:49",0.82716,10,udayanmaurya
215,312493,Sengi,"2016-04-20 14:34:55",0.82716,1,sengidata
216,308673,ikaya754,"2016-04-22 10:37:32",0.82716,17,ikaya754
217,285958,www.mljar.com,"2016-04-22 18:15:19",0.82716,17,mt77pp
218,315750,amgmails,"2016-05-02 22:48:15",0.82716,6,amgmails
219,300989,KorayKayir,"2016-04-09 01:00:56",0.82716,21,koraykayir
220,298022,"Mike First","2016-04-01 23:43:31",0.82716,24,mixacom
221,304120,CardinalFire,"2016-04-08 16:24:37",0.82716,2,cardinalfire
222,308276,madara,"2016-05-02 22:52:32",0.82715,16,madara
223,290012,Rage,"2016-03-24 02:07:21",0.82715,18,lazyrage
224,287014,"Rolf Schorpion","2016-05-02 21:46:12",0.82715,159,rschorpion
225,289336,Scirpus,"2016-05-02 11:14:17",0.82715,152,scirpus
226,308462,CIn,"2016-04-28 00:08:10",0.82715,17,"fillo8985,magnum,romerobarata"
227,285442,"Konstantin Sorokin","2016-03-11 13:23:21",0.82715,15,thekvs
228,311644,"I Rustandi","2016-05-02 03:13:21",0.82715,12,irustandi
229,315087,meowmeowmeow,"2016-04-29 09:58:09",0.82715,8,meowmeowmeow
230,308933,Chaps,"2016-05-02 18:04:17",0.82715,23,"chprasad,nikilaravi"
231,313856,"DataScientist 2","2016-04-23 13:05:30",0.82714,3,del=a83320761f898996
232,289394,"Niranjan Singh","2016-05-02 20:09:24",0.82714,8,niranjanmaisnam
233,313916,zeag,"2016-04-30 16:33:56",0.82714,9,zeagline
234,312215,"Fabio Gabriel","2016-05-01 18:12:05",0.82714,13,fabiogabriel
235,302687,"Yuanchen Huang","2016-05-02 03:04:59",0.82714,23,yuanchenhuang
236,287566,Citrinitas,"2016-04-25 08:54:20",0.82714,90,citrinitas
237,294841,RandomModel,"2016-04-30 20:09:15",0.82714,36,randommodel
238,301339,"Jordi Z","2016-04-26 18:52:14",0.82714,41,jordizm
239,291394,BubbleGuppy,"2016-03-18 03:40:37",0.82713,24,bubbleguppy
240,315268,"Dimitri Richard","2016-05-01 13:43:47",0.82713,9,dimitri84
241,309766,"Vasily Ryazanov","2016-04-30 20:08:30",0.82713,6,ryazanoff
242,314477,BVoskresenskii,"2016-05-02 21:33:50",0.82713,22,bvoskresenskii
243,311595,invisible_in,"2016-04-23 16:02:33",0.82713,19,invisible
244,301988,Gizmoe,"2016-04-04 14:47:58",0.82713,2,del=25fedea209fa6f7b
245,295223,Cju,"2016-04-05 10:57:36",0.82713,20,alexanderthamm
246,289621,"Imre Puskás","2016-04-06 20:07:15",0.82713,24,bronyesz
247,286775,owl,"2016-05-02 15:40:49",0.82713,101,"chengjiun,kechenqin,yangnanhai"
248,293484,yrs,"2016-04-12 14:01:59",0.82713,29,"rui123,shan12,yangreal1991"
249,297872,h-wit,"2016-04-26 01:12:09",0.82713,24,halfwit
250,295507,"Vadiraj M Kulkarni","2016-04-22 17:01:47",0.82713,42,vadiraj13
251,308660,"WCT Lee","2016-04-27 11:01:05",0.82712,20,stabilowl
252,297115,primaryobjects,"2016-04-01 14:53:49",0.82712,30,primaryobjects
253,312174,seewaters,"2016-04-25 21:16:36",0.82712,8,seewaters
254,296121,"Tim Leathart","2016-04-13 00:57:51",0.82712,14,timleathart
255,286084,matlab,"2016-05-02 23:50:36",0.82712,43,kiclent
256,315095,"Pramod Sharma","2016-05-01 11:54:52",0.82712,12,pramods
257,314787,"Ivica Jovic","2016-05-02 22:26:34",0.82712,4,ivicajovic
258,291356,"Leibo Liu","2016-04-20 05:00:45",0.82712,13,leiboliu
259,294804,"Peter Hahn","2016-04-08 16:40:45",0.82712,22,pehahn
260,299448,"Ravi Annaswamy","2016-04-18 04:38:08",0.82712,6,raviannaswamy
261,294638,goldfish_bnu,"2016-03-28 05:01:45",0.82712,15,goldfishtyan
262,298254,Agumon,"2016-03-28 11:29:27",0.82712,1,loveds
263,297241,sa1234,"2016-03-29 06:26:07",0.82712,19,sa1234
264,293200,"Pedro Urzúa","2016-03-29 03:05:26",0.82712,6,pedrolytics
265,314180,z_fuller,"2016-04-26 21:35:54",0.82712,15,zfuller
266,298153,ZZ87,"2016-03-29 02:22:47",0.82712,3,garima221087
267,310429,IkerS,"2016-04-25 10:51:04",0.82712,10,ikersanchez
268,302038,"Ashish Lal","2016-05-01 00:19:29",0.82711,77,del=6f45be124fef0d10
269,302332,predictor,"2016-04-28 15:37:52",0.82711,19,chambox
270,302312,CustomerSatis,"2016-04-13 03:57:02",0.82711,27,jhuang37
271,298802,vikasgoyal,"2016-03-30 14:56:53",0.82711,7,vikasgoel2000
272,299993,IanKavanagh,"2016-03-31 16:51:57",0.82711,1,iankavanagh
273,312979,"Jeonghyun Park","2016-04-25 11:59:31",0.82711,8,arduino
274,288253,"it staff","2016-04-24 03:00:53",0.82711,194,panpur
275,297955,"AKBAR ESFAHANI","2016-04-01 04:39:06",0.82711,15,akbaresfahani
276,303048,"Lalit Varma","2016-04-07 16:06:07",0.82711,4,varmalalit
277,312456,ЮрийВязовецкий,"2016-05-02 22:49:36",0.82711,9,face1e55
278,308207,"[Deleted] 0ee01b2e-c174-4b78-9cba-c4596d5cecea","2016-04-13 20:24:59",0.82711,5,del=50889b0daa27e746
279,299110,erdaco,"2016-04-10 20:31:25",0.82711,4,ecocker
280,286458,Bluefool,"2016-05-02 21:10:27",0.82711,57,domcastro
281,298215,"Thomas SELECK","2016-05-02 17:13:57",0.82710,34,thomasseleck
282,299050,Malai,"2016-04-01 16:18:03",0.82710,2,malais
283,301710,"James Zeng","2016-04-23 09:34:10",0.82710,75,jameszeng
284,298314,MayaSofsof,"2016-04-29 20:10:11",0.82710,26,mayasofsof
285,301425,"Alessandro Mariani","2016-04-11 00:00:51",0.82710,8,alzmcr
286,309880,JonathanChoi,"2016-04-17 12:29:40",0.82710,9,del=ffbb9a76daaa41b5
287,298396,"Ivan Potapov","2016-05-02 21:24:01",0.82710,63,ipotap
288,288244,"Balaji SR","2016-03-23 12:00:04",0.82710,52,balajisr
289,310624,"Herra Huu","2016-04-19 00:20:49",0.82709,3,herrahuu
290,292576,RIT-STAT-745-Team2,"2016-05-02 22:57:53",0.82709,13,"billyd,calvinmfloyd,hansd234,nad9116"
291,285567,"Missing the Hero.!","2016-05-02 23:51:32",0.82709,110,"aarshayjain,mikeskim,sudalairajkumar"
292,314042,shizhe,"2016-04-24 06:52:46",0.82709,6,doudou233333
293,312705,FernandoProcy,"2016-05-02 23:13:07",0.82709,11,fernandoprocy
294,286399,"Mr. R","2016-05-01 23:59:31",0.82709,183,del=981949bcab6a4072
295,285127,kxx,"2016-05-02 15:02:12",0.82709,290,kailex
296,313516,Stan,"2016-04-22 14:00:15",0.82709,1,stanpol
297,286425,"Ali-Amir Aldan","2016-04-14 20:09:40",0.82708,80,aliamiraldan
298,287751,hbghhy,"2016-03-29 10:05:03",0.82708,42,hbghhy
299,296881,"Amy Heinrich","2016-04-29 20:55:58",0.82708,23,amyheinrich
300,312082,"bluesky 2","2016-05-02 08:21:09",0.82708,12,bluesky
301,299089,SK,"2016-04-25 23:49:03",0.82708,8,optimism
302,295483,ggautama,"2016-04-06 05:30:58",0.82708,19,ggautama
303,315403,Andrem,"2016-05-02 22:52:48",0.82707,29,andrem
304,313947,Taboada,"2016-04-29 20:12:40",0.82707,23,aquipedro
305,305773,"Lakshmi YM","2016-04-19 10:42:17",0.82707,39,lakshmiym
306,294867,TejasMehta,"2016-04-03 19:55:43",0.82707,3,mehtate1
307,297829,"Seb & Lam","2016-05-02 21:47:02",0.82707,20,"lamdang,sebastienconort"
308,294450,MaximeLouis,"2016-04-24 15:18:26",0.82707,34,"maximelouis,thomasperrais"
309,312026,oldmanpat,"2016-05-02 18:32:59",0.82707,9,pmk2109
310,310254,hawks10,"2016-04-29 19:19:53",0.82707,16,amazone
311,308260,ml_kicker,"2016-04-26 07:18:00",0.82707,21,ming2sun
312,315616,Frull,"2016-04-28 10:53:46",0.82707,14,frull70
313,314684,rfnepku,"2016-05-01 20:26:38",0.82707,14,"rfnepku,xixiaodanpaul"
314,293859,Mishyak,"2016-05-02 23:04:45",0.82707,56,mishyak
315,301270,TheDude,"2016-05-02 02:07:16",0.82707,11,theotherdude
316,309249,hardeeparora,"2016-05-02 23:42:50",0.82707,41,hardeeparora
317,292706,"Will Wang","2016-05-02 15:42:34",0.82707,9,willwang
318,311062,"I Can't Get No","2016-05-01 21:04:25",0.82707,11,adegie
319,300896,ShinozakiShinnosuke,"2016-05-02 13:37:12",0.82707,8,dblnnn
320,312570,VMK,"2016-05-02 19:40:13",0.82707,9,vinodmk
321,313540,Kaggle??,"2016-04-26 14:44:28",0.82707,8,statlearning
322,309389,tomgag,"2016-04-16 20:21:25",0.82707,6,tomgag
323,289413,"Jared Huling","2016-04-10 17:59:26",0.82707,9,jhuling
324,286502,Сергей,"2016-04-25 15:26:36",0.82706,16,sergeyivanov
325,297228,"Karachun Michael","2016-04-15 05:02:47",0.82706,106,karachunmichael
326,292644,yin,"2016-04-27 02:49:24",0.82706,40,yinsong
327,310392,zyazzy,"2016-05-02 14:35:20",0.82705,46,zyazzy
328,285174,"Eureka & :-)","2016-05-02 17:16:07",0.82705,37,"confirm,pengyan"
329,301092,"Adarsh Chavakula","2016-05-02 17:42:49",0.82705,21,adarshchavakula
330,303577,Smit,"2016-04-16 00:36:59",0.82705,14,susmit
331,309109,"Diego García","2016-04-15 09:13:38",0.82705,5,diegogarcia
332,288189,RhoArgentinos,"2016-04-24 21:18:51",0.82705,45,"acalatroni,richarddm"
333,291250,"saurabh 2","2016-04-26 09:22:21",0.82705,30,saurabhjaju
334,296202,Bleh..,"2016-04-07 12:36:09",0.82705,19,"ashvjit,harshsinha"
335,285179,DrNuke,"2016-05-02 21:10:32",0.82705,55,giusco
336,311122,kane,"2016-05-01 17:54:16",0.82705,13,kanebako
337,302146,lifeofpie,"2016-04-28 23:24:38",0.82705,78,"amycrawford,czhang1989,jingfangjoy,jonlwj,kiegrice,kwill0531,leiqi88"
338,285350,Florian,"2016-04-30 18:45:15",0.82705,24,fsimond
339,308212,"Zhiyuan Zou","2016-05-02 16:05:23",0.82704,14,austinpizza
340,310246,loweew,"2016-04-30 00:30:03",0.82704,25,loweew
341,294934,hbyun,"2016-05-02 23:56:40",0.82704,45,hyesukby
